product_category_name_english,average_review,total_reviews
fashion_underwear_beach,3.976923076923077,130
air_conditioning,3.969178082191781,292
kitchen_dining_laundry_garden_furniture,3.9642857142857144,280
telephony,3.946867389860527,4517
home_construction,3.94,600
art,3.9371980676328504,207
computers_accessories,3.9308192126385526,7849
furniture_living_room,3.904382470119522,502
furniture_decor,3.9034929780338494,8331
bed_bath_table,3.8956631049654304,11137
construction_tools_safety,3.844559585492228,193
home_confort,3.829885057471264,435
audio,3.8254847645429364,361
fixed_telephony,3.683206106870229,262
fashion_male_clothing,3.6412213740458017,131
office_furniture,3.4931831653823355,1687
